#node	date	numeric date
NODE_0000171	2020-01-29	2020.078833
hCoV_19_England_20144051704_2020_EPI_ISL_421952	2020-03-31	2020.247268
NODE_0000172	2020-01-29	2020.078833
hCoV_19_England_SHEF_BFD45_2020_EPI_ISL_416739	2020-03-09	2020.187158
NODE_0000173	2020-01-29	2020.078833
hCoV_19_England_SHEF_C0206_2020_EPI_ISL_420198	2020-03-28	2020.239071
NODE_0000174	2020-01-29	2020.078833
hCoV_19_Guangdong_GDSZ202004_P0004_2020_EPI_ISL_413879	2020-02-05	2020.096995
hCoV_19_England_SHEF_C07E9_2020_EPI_ISL_420160	2020-03-27	2020.236339
NODE_0000175	2020-02-20	2020.138829
hCoV_19_Wales_PHWC_23CF4_2020_EPI_ISL_418105	2020-03-15	2020.203552
NODE_0000176	2020-03-06	2020.178673
NODE_0000177	2020-03-06	2020.178673
hCoV_19_Wales_PHW35_2020_EPI_ISL_416024	2020-03-11	2020.192623
NODE_0000178	2020-03-06	2020.178673
hCoV_19_Wales_PHWC_2709A_2020_EPI_ISL_422187	2020-03-29	2020.241803
NODE_0000179	2020-03-06	2020.178673
hCoV_19_Wales_PHWC_240BB_2020_EPI_ISL_418141	2020-03-13	2020.198087
hCoV_19_Wales_PHWC_24BAB_2020_EPI_ISL_419494	2020-03-20	2020.217213
NODE_0000180	2020-03-07	2020.180601
NODE_0000181	2020-03-07	2020.180601
hCoV_19_Wales_PHWC_25A52_2020_EPI_ISL_422172	2020-03-23	2020.225410
hCoV_19_Wales_PHWC_25005_2020_EPI_ISL_420929	2020-03-20	2020.217213
NODE_0000182	2020-03-07	2020.180601
NODE_0000183	2020-03-18	2020.210833
hCoV_19_Wales_PHWC_26D67_2020_EPI_ISL_422178	2020-03-30	2020.244536
hCoV_19_Wales_PHWC_25ABC_2020_EPI_ISL_422053	2020-03-24	2020.228142
NODE_0000184	2020-03-08	2020.185452
NODE_0000185	2020-03-08	2020.185452
hCoV_19_Wales_PHWC_24A44_2020_EPI_ISL_419473	2020-03-20	2020.217213
hCoV_19_Wales_PHWC_24F45_2020_EPI_ISL_420957	2020-03-22	2020.222678
NODE_0000186	2020-03-09	2020.187400
hCoV_19_Wales_PHWC_24FDC_2020_EPI_ISL_420921	2020-03-19	2020.214481
NODE_0000187	2020-03-09	2020.187400
NODE_0000188	2020-03-09	2020.187400
hCoV_19_Wales_PHWC_23A81_2020_EPI_ISL_418084	2020-03-12	2020.195355
hCoV_19_Wales_PHWC_2568B_2020_EPI_ISL_422359	2020-03-24	2020.228142
NODE_0000189	2020-03-12	2020.195355
hCoV_19_Wales_PHWC_23B42_2020_EPI_ISL_418092	2020-03-12	2020.195355
hCoV_19_Wales_PHWC_23D00_2020_EPI_ISL_418106	2020-03-13	2020.198087
NODE_0000190	2019-11-29	2019.911292
NODE_0000191	2019-12-29	2019.993196
hCoV_19_Cambodia_0012_2020_EPI_ISL_411902	2020-01-27	2020.072404
hCoV_19_Pingxiang_JX151_2020_EPI_ISL_421259	2020-01-27	2020.072404
NODE_0000192	2019-11-30	2019.913192
NODE_0000193	2019-12-12	2019.946880
NODE_0000194	2019-12-13	2019.948823
NODE_0000195	2019-12-23	2019.976674
hCoV_19_Malaysia_MKAK_CL_2020_7554_2020_EPI_ISL_416907	2020-02-20	2020.137978
NODE_0000196	2020-01-19	2020.050274
hCoV_19_Shanghai_SH0110_2020_EPI_ISL_416399	2020-02-13	2020.118852
NODE_0000197	2020-02-26	2020.155054
hCoV_19_Wales_PHWC_2711F_2020_EPI_ISL_422017	2020-03-29	2020.241803
NODE_0000198	2020-03-07	2020.182855
hCoV_19_England_SHEF_BFFC7_2020_EPI_ISL_418319	2020-03-25	2020.230874
NODE_0000199	2020-03-08	2020.183148
hCoV_19_England_SHEF_C036D_2020_EPI_ISL_420206	2020-03-27	2020.236339
NODE_0000200	2020-03-08	2020.183148
NODE_0000201	2020-03-19	2020.213506
hCoV_19_England_SHEF_C07F8_2020_EPI_ISL_420175	2020-03-21	2020.219945
hCoV_19_England_SHEF_C0145_2020_EPI_ISL_420230	2020-03-25	2020.230874
NODE_0000202	2020-03-15	2020.204234
hCoV_19_England_SHEF_C086E_2020_EPI_ISL_420163	2020-03-25	2020.230874
NODE_0000203	2020-03-20	2020.217213
hCoV_19_England_SHEF_C038B_2020_EPI_ISL_420185	2020-03-27	2020.236339
hCoV_19_England_SHEF_C0576_2020_EPI_ISL_420284	2020-03-20	2020.217213
NODE_0000204	2019-12-14	2019.950748
